院校名称	国家	城市	类别	详细
九州大学	日本	福岡市	国立	简介 评论收藏 加入对比
威斯康星大学麦迪逊分校(麦迪逊)	美国	Madison	公立	简介 评论收藏 加入对比
大阪大学	日本	吹田市	国立	简介 评论收藏 加入对比
斯图加特大学	德国	Stuttgart	公立	简介 评论收藏 加入对比
新西兰国立理工学院	新西兰	Auckland	公立	简介 评论收藏 加入对比
奥克兰理工大学	新西兰	Auckland	公立	简介 评论收藏 加入对比
科廷理工大学(现名：科廷大学)	澳大利亚	Bentley	公立	简介 评论收藏 加入对比
明尼苏达大学双城分校(明尼阿波利斯)	美国	Minneapolis	公立	简介 评论收藏 加入对比
东京水产大学(现名：东京海洋大学)	日本	港区	国立	简介 评论收藏 加入对比
德克萨斯州立大学(圣马科斯)	美国	San Marcos	公立	简介 评论收藏 加入对比
汉堡-哈尔堡工业大学	德国	Hamburg	公立	简介 评论收藏 加入对比
林肯大学(新西兰)	新西兰	Lincoln	公立	简介 评论收藏 加入对比
都柏林大学圣三一学院	爱尔兰	Dublin	不详	简介 评论收藏 加入对比
格罗宁根汉斯大学	荷兰	Groningen	不详	简介 评论收藏 加入对比
汉肯经济学院	芬兰	Helsinki	公立	简介 评论收藏 加入对比
布伦瑞克工业大学	德国	Braunschweig	公立	简介 评论收藏 加入对比
萨塞克斯大学	英国	Falmer	不详	简介 评论收藏 加入对比
德克萨斯大学奥斯汀分校(奥斯汀)	美国	Austin	公立	简介 评论收藏 加入对比
波鸿鲁尔大学	德国	Bochum	公立	简介 评论收藏 加入对比
纽约理工大学	美国	Brooklyn	私立	简介 评论收藏 加入对比
东京商船大学(现名：东京海洋大学)	日本	港区	国立	简介 评论收藏 加入对比
瓦赫宁根大学	荷兰	Wageningen	公立	简介 评论收藏 加入对比
中华盛顿大学(艾伦斯堡)	美国	Ellensburg	公立	简介 评论收藏 加入对比
庆熙网络大学	韩国	서울	私立	简介 评论收藏 加入对比
凡尔赛大学	法国	Versailles	公立	简介 评论收藏 加入对比
奥尔胡斯大学	丹麦	Aarhus	公立	简介 评论收藏 加入对比
都柏林大学学院	爱尔兰	Dublin, Ireland	国立	简介 评论收藏 加入对比
马来西亚沙巴大学	马来西亚	Kota Kinabalu	公立	简介 评论收藏 加入对比
怀卡托大学	新西兰	Hamilton	公立	简介 评论收藏 加入对比
纽约城市大学曼哈顿社区学院(纽约)	美国	New York	公立	简介 评论收藏 加入对比
达特茅斯学院(汉诺威)	美国	Hanover	私立	简介 评论收藏 加入对比
纽约州立大学布法罗分校(布法罗)	美国	Buffalo	公立	简介 评论收藏 加入对比
立命馆亚洲太平洋大学	日本	別府市	私立	简介 评论收藏 加入对比
巴黎政治学院	法国	Paris	不详	简介 评论收藏 加入对比
佛罗里达州立大学(塔拉哈西)	美国	Tallahassee	公立	简介 评论收藏 加入对比
埃克斯特大学	英国	Exeter	公立	简介 评论收藏 加入对比
西南法伦应用技术大学	德国	Iserlohn (Sitz), Hagen, Meschede, Soest	公立	简介 评论收藏 加入对比
澳大利亚天主教大学	澳大利亚	Brisbane, North Sydney, Strathfield, Canberra, Ballarat, and Melbourne	公立	简介 评论收藏 加入对比
世纪大学学院吉隆坡校区	马来西亚	Kuala Lumpur	私立	简介 评论收藏 加入对比
詹姆斯库克大学	澳大利亚	Townsville	公立	简介 评论收藏 加入对比
暻园大学	韩国	성남시	私立	简介 评论收藏 加入对比
长崎大学	日本	长崎市	国立	简介 评论收藏 加入对比
东京外国语大学	日本	府中市	国立	简介 评论收藏 加入对比
东安格利亚大学	英国	Norwich	公立	简介 评论收藏 加入对比
巴黎一大	法国	Paris	公立	简介 评论收藏 加入对比
威斯康星大学密尔沃基分校(密尔沃基)	美国	Milwaukee	公立	简介 评论收藏 加入对比
千叶大学	日本	千葉市	国立	简介 评论收藏 加入对比
德成女子大学	韩国	서울특별시	私立	简介 评论收藏 加入对比
惠灵顿理工学院	新西兰	Wellington	公立	简介 评论收藏 加入对比
加州理工学院(帕萨迪纳)	美国	Pasadena	私立	简介 评论收藏 加入对比
加州州立理工大学(圣路易斯奥比斯波)	美国	San Luis Obispo	公立	简介 评论收藏 加入对比
波特兰州立大学(波特兰)	美国	Portland	公立	简介 评论收藏 加入对比
新布伦瑞克大学	加拿大	Fredericton	公立	简介 评论收藏 加入对比
犹他大学(盐湖城)	美国	Salt Lake City	公立	简介 评论收藏 加入对比
新罗大学	韩国	부산광역시	私立	简介 评论收藏 加入对比
女王大学	加拿大	Kingston	公立	简介 评论收藏 加入对比
庆熙大学	韩国	서울특별시	私立	简介 评论收藏 加入对比
朱拉隆功大学	泰国	Bangkok	国立	简介 评论收藏 加入对比
埃因霍芬理工大学	荷兰	Eindhoven	公立	简介 评论收藏 加入对比
哥本哈根商学院	丹麦	Copenhagen	公立	简介 评论收藏 加入对比
巴黎十三大	法国	Villetaneuse	公立	简介 评论收藏 加入对比
南特中央理工学校	法国	Nantes	公立	简介 评论收藏 加入对比
科罗拉多大学丹佛分校(丹佛)	美国	Denver	公立	简介 评论收藏 加入对比
卡尔顿大学	加拿大	Ottawa	公立	简介 评论收藏 加入对比
巴塞罗那大学	西班牙	Barcelona	公立	简介 评论收藏 加入对比
综合理工学校	法国	Palaiseau	不详	简介 评论收藏 加入对比
义安理工学院	新加坡	Singapore	公立	简介 评论收藏 加入对比
马来亚大学	马来西亚	Kuala Lumpur	公立	简介 评论收藏 加入对比
林奈大学	瑞典	Kalmar	公立	简介 评论收藏 加入对比
尼尔森理工学院	新西兰	Nelson	公立	简介 评论收藏 加入对比
莫纳什大学马来西亚分校	马来西亚	Petaling Jaya	私立	简介 评论收藏 加入对比
埃森经济管理应用技术大学	德国	Essen	私立	简介 评论收藏 加入对比
坎特伯雷大学	新西兰	Christchurch	公立	简介 评论收藏 加入对比
马尼托巴大学	加拿大	Winnipeg	公立	简介 评论收藏 加入对比
特拉华州立大学(多佛)	美国	Dover	公立	简介 评论收藏 加入对比
特里尔大学	德国	Trier	公立	简介 评论收藏 加入对比
沃特福德理工学院	爱尔兰	Waterford	公立	简介 评论收藏 加入对比
东北大学	日本	仙台市	国立	简介 评论收藏 加入对比
辛辛那提大学(辛辛那提)	美国	Cincinnati	公立	简介 评论收藏 加入对比
克莱蒙费朗一大	法国	Clermont-Ferrand	公立	简介 评论收藏 加入对比
仁济大学	韩国	부산 서울 김해	私立	简介 评论收藏 加入对比
康涅狄格大学(斯托斯)	美国	Storrs	公立	简介 评论收藏 加入对比
波尔多四大	法国	Bordeaux	公立	简介 评论收藏 加入对比
北卡罗莱纳州立大学(雷利)	美国	Raleigh	公立	简介 评论收藏 加入对比
中瑞典大学	瑞典	Östersund, Sundsvall and Härnösand	公立	简介 评论收藏 加入对比
查尔姆斯理工大学	瑞典	Gothenburg	私立	简介 评论收藏 加入对比
萨福克大学(波士顿)	美国	Boston	私立	简介 评论收藏 加入对比
庆应义塾大学	日本	港区	私立	简介 评论收藏 加入对比
北英属哥伦比亚大学	加拿大	Prince George	公立	简介 评论收藏 加入对比
安哈尔特应用技术大学	德国	Anhalt	公立	简介 评论收藏 加入对比
皇家美术学院	荷兰	Hague	不详	简介 评论收藏 加入对比
戴尔豪西大学	加拿大	Halifax	公立	简介 评论收藏 加入对比
波城高等商业学校	法国	Pau	非国立	简介 评论收藏 加入对比
伊利诺斯理工学院(芝加哥)	美国	Chicago	私立	简介 评论收藏 加入对比
哥伦比亚学院(索诺拉)	美国	Sonora	不详	简介 评论收藏 加入对比
里昂二大	法国	Lyon	公立	简介 评论收藏 加入对比
奥卢大学	芬兰	oulu	公立	简介 评论收藏 加入对比
世界海事大学	瑞典	Malmö	公立	简介 评论收藏 加入对比
伯尔尼大学	瑞士	Bern	公立	简介 评论收藏 加入对比
皇家理工学院	瑞典	Stockholm	公立	简介 评论收藏 加入对比
基督城理工学院	新西兰	Christchurch	公立	简介 评论收藏 加入对比
普渡大学卡鲁梅分校(哈蒙德)	美国	Hammond	公立	简介 评论收藏 加入对比
共和理工学院	新加坡	Singapore	国立	简介 评论收藏 加入对比
德保罗大学(芝加哥)	美国	Chicago	私立	简介 评论收藏 加入对比
都柏林城市大学	爱尔兰	Dublin	国立	简介 评论收藏 加入对比
约翰布朗大学(西罗亚泉)	美国	Arkansas	私立	简介 评论收藏 加入对比
印第安纳大学-普渡大学印第安纳波利斯分校(印第安纳波利斯)	美国	Indianapolis	公立	简介 评论收藏 加入对比
马斯特里赫特管理学院	荷兰	Maastricht	私立	简介 评论收藏 加入对比
爱荷华州立大学(埃姆斯)	美国	Ames	公立	简介 评论收藏 加入对比
加州大学洛杉矶分校(洛杉矶)	美国	Los Angeles	公立	简介 评论收藏 加入对比
科隆大学	德国	Köln	公立	简介 评论收藏 加入对比
休斯顿大学(休斯顿)	美国	Houston	公立	简介 评论收藏 加入对比
圣路易斯华盛顿大学	美国	St. Louis	私立	简介 评论收藏 加入对比
卡内基梅隆大学(匹兹堡)	美国	Pittsburgh	私立	简介 评论收藏 加入对比
图卢兹一大	法国	Toulouse	公立	简介 评论收藏 加入对比
城市技术学院(现名：赫尔辛基城市应用科学大学)	芬兰	Helsinki,Espoo,Vantaa	公立	简介 评论收藏 加入对比
启明大学	韩国	대구광역시	私立	简介 评论收藏 加入对比
瓦萨应用科学大学	芬兰	Vaasa	公立	简介 评论收藏 加入对比
赫尔辛基大学	芬兰	Helsinki	公立	简介 评论收藏 加入对比
御茶水女子大学	日本	文京区	国立	简介 评论收藏 加入对比
京都女子大学	日本	京都市	私立	简介 评论收藏 加入对比
维多利亚大学(澳大利亚)	澳大利亚	Melbourne	公立	简介 评论收藏 加入对比
乌得勒支艺术学院	荷兰	Utrecht	不详	简介 评论收藏 加入对比
艾克斯-马赛一大	法国	Aix-en-Provence et Marseille	公立	简介 评论收藏 加入对比
忠南大学	韩国	대전광역시	国立	简介 评论收藏 加入对比
艾文思应用科学大学	荷兰	Breda	不详	简介 评论收藏 加入对比
圣彼得堡国立大学	俄罗斯	Санкт-Петербург	国立	简介 评论收藏 加入对比
韩南大学	韩国	대전광역시	私立	简介 评论收藏 加入对比
利默里克大学	爱尔兰	Castletroy	国立	简介 评论收藏 加入对比
旧金山艺术学院(旧金山)	美国	San Francisco	私立	简介 评论收藏 加入对比
纽约城市大学拉瓜迪亚社区学院(长岛)	美国	Long Island Cty	不详	简介 评论收藏 加入对比
汉诺威应用技术大学	德国	Hannover, Nienburg/Weser	公立	简介 评论收藏 加入对比
法兰克福大学	德国	Frankfurt am Main	公立	简介 评论收藏 加入对比
坦佩雷理工大学	芬兰	Tampere	公立	简介 评论收藏 加入对比
拉普兰大学	芬兰	Rovaniemi	公立	简介 评论收藏 加入对比
伯恩茅斯大学	英国	Dorset	公立	简介 评论收藏 加入对比
塞吉-蓬图瓦兹大学	法国	Cergy-Pontoise  1700	公立	简介 评论收藏 加入对比
马来西亚理工大学	马来西亚	Skudai	公立	简介 评论收藏 加入对比
伍斯特理工学院(伍斯特)	美国	Worcester	私立	简介 评论收藏 加入对比
齐根大学(现名：锡根大学)	德国	Siegen	公立	简介 评论收藏 加入对比
诺丁汉大学马来西亚分校	马来西亚	Semenyih	私立	简介 评论收藏 加入对比
威顿学院(威顿)	美国	Wheaton	私立	简介 评论收藏 加入对比
伦敦大学玛丽皇后学院	英国	London	公立	简介 评论收藏 加入对比
亚利桑那大学(图森)	美国	Tucson	公立	简介 评论收藏 加入对比
勃兰登堡应用技术大学	德国	Brandenburg an der Havel	公立	简介 评论收藏 加入对比
谢菲尔德哈兰姆大学	英国	Sheffield	公立	简介 评论收藏 加入对比
东北学院大学	日本	仙台市	私立	简介 评论收藏 加入对比
萨里大学	英国	Guildford	公立	简介 评论收藏 加入对比
普渡大学西拉法叶分校(西拉法叶)	美国	West Lafayette	公立	简介 评论收藏 加入对比
